From,To,weight
Chen Yang 0009,Xiaofeng Meng 0001,1
Chen Yang 0009,Zujian Weng,1
Chunkai Wang,Qi Guo 0001,1
Chunkai Wang,Xiaofeng Meng 0001,1
Chunkai Wang,Zujian Weng,1
Qi Guo 0001,Xiaofeng Meng 0001,1
Qi Guo 0001,Zujian Weng,1
Xiaofeng Meng 0001,Zujian Weng,1
Benno Stein 0001,Gregor Engels,1
Benno Stein 0001,Martin Potthast,1
Benno Stein 0001,Stefan Heindorf,1
Gregor Engels,Martin Potthast,1
Gregor Engels,Stefan Heindorf,1
Martin Potthast,Stefan Heindorf,1
Albert Bifet,Arinto Murdopo,1
Albert Bifet,Gianmarco De Francisci Morales,2
Albert Bifet,Nicolas Kourtellis,1
Arinto Murdopo,Gianmarco De Francisci Morales,1
Arinto Murdopo,Nicolas Kourtellis,1
Gianmarco De Francisci Morales,Nicolas Kourtellis,1
Fred Morstatter,Huan Liu 0001,2
Fred Morstatter,Justin Sampson,1
Fred Morstatter,Liang Wu 0006,1
Huan Liu 0001,Justin Sampson,1
Huan Liu 0001,Liang Wu 0006,1
Justin Sampson,Liang Wu 0006,1
Carlos Gonçalves,Joaquim F. Silva,1
Carlos Gonçalves,José C. Cunha,1
Joaquim F. Silva,José C. Cunha,1
Abdel Rahman Al Harahsheh,Mohammad Mehedy Masud,1
Paolo Missier,Priyaa Thavasimani,1
Bojana Dalbelo Basic,Goran Glavas,1
Bojana Dalbelo Basic,Jan Snajder,1
Bojana Dalbelo Basic,Martin Tutek,1
Bojana Dalbelo Basic,Natasa Milic-Frayling,1
Goran Glavas,Jan Snajder,1
Goran Glavas,Martin Tutek,1
Goran Glavas,Natasa Milic-Frayling,1
Jan Snajder,Martin Tutek,1
Jan Snajder,Natasa Milic-Frayling,1
Martin Tutek,Natasa Milic-Frayling,1
Malwina Splawinska,Piotr Wasilewski,1
Malwina Splawinska,Stan Matwin,1
Malwina Splawinska,Tomasz Tajmajer,1
Piotr Wasilewski,Stan Matwin,1
Piotr Wasilewski,Tomasz Tajmajer,1
Stan Matwin,Tomasz Tajmajer,1
Gerhard Weikum,Mirek Riedewald,1
Gerhard Weikum,Yusra Ibrahim,1
Mirek Riedewald,Yusra Ibrahim,1
Hu Xu,Lei Shu 0004,1
Hu Xu,Philip S. Yu,1
Hu Xu,Sihong Xie,1
Lei Shu 0004,Philip S. Yu,1
Lei Shu 0004,Sihong Xie,1
Philip S. Yu,Sihong Xie,6
Hong Cheng 0001,Siyuan Zhang,1
Hong Cheng 0001,Tianyi Lin,1
Siyuan Zhang,Tianyi Lin,1
Francesco Versaci,Gianluigi Zanetti,1
Francesco Versaci,Luca Pireddu,1
Gianluigi Zanetti,Luca Pireddu,1
Alberto Barrón-Cedeño,Alessandro Moschitti,1
Alberto Barrón-Cedeño,Antonio Uva 0001,1
Alberto Barrón-Cedeño,Giovanni Da San Martino,1
